SESSION METADATA
participantID,hassan
sessionID,hassan_1
musicCondition,silence
game,starSearch
inputDevice,mouse
phase,assessment
sessionStartUTC,2026-07-08T13:29:57.392Z
sessionDurationMs,297692
windowWidth,1625
windowHeight,1023
devicePixelRatio,1.5
responseWindowsMs,5000/4000/2500
fixationJitterMs,500-800
itemSizePx,56
trialsPerLevel,40

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,searchType,setSize,targetItem,distractor1Item,distractor2Item,distractor1Count,distractor2Count,fixationDuration,targetX,targetY,clickX,clickY,clickDistance,clickedItemType,emptyClickCount
2,46,6,95194,gold_triangle,gold_triangle,1,3186,2442,0,conjunction,21,gold_triangle,darkorange_triangle,gold_hexagon,10,10,744,354,513,357,513,3,target,0
2,47,7,98380,purple_semicircle,purple_semicircle,1,2227,1668,0,conjunction,21,purple_semicircle,red_semicircle,purple_square,11,9,559,594,735,583,717,21,target,0
2,48,8,100607,saddlebrown_diamond,saddlebrown_diamond,1,4093,3470,0,conjunction,21,saddlebrown_diamond,gold_diamond,saddlebrown_hexagon,11,9,623,1179,478,1193,483,15,target,0
2,49,9,104700,dimgray_circle,dimgray_circle,1,1833,1315,0,conjunction,21,dimgray_circle,gold_circle,dimgray_triangle,12,8,518,490,427,495,431,7,target,0
2,50,10,106533,timeout,deeppink_diamond,0,4744,4000,0,conjunction,21,deeppink_diamond,gold_diamond,deeppink_pentagon,13,7,744,1210,306,-1,-1,-1,timeout,0
2,51,11,111301,darkturquoise_star,darkturquoise_star,1,2124,1525,0,conjunction,21,darkturquoise_star,deeppink_star,darkturquoise_diamond,12,8,599,934,771,939,753,19,target,0
2,52,12,113425,purple_square,purple_square,1,2281,1549,0,conjunction,21,purple_square,gold_square,purple_cross,11,9,732,522,731,524,732,2,target,0
2,53,13,115706,darkorange_triangle,darkorange_cross,-1,2434,1779,0,conjunction,21,darkorange_cross,dimgray_cross,darkorange_triangle,13,7,655,460,767,368,777,93,distractor,0
2,54,14,118140,darkorange_diamond,darkorange_diamond,1,4095,3579,0,conjunction,21,darkorange_diamond,darkturquoise_diamond,darkorange_pentagon,10,10,516,1057,568,1073,561,17,target,0
2,55,15,122235,purple_cross,purple_cross,1,3101,2350,0,conjunction,21,purple_cross,dimgray_cross,purple_hexagon,11,9,751,1082,344,1085,335,9,target,0
2,56,16,125336,dimgray_ring,dimgray_ring,1,3157,2545,0,conjunction,21,dimgray_ring,darkturquoise_ring,dimgray_star,12,8,612,1196,357,1197,369,12,target,0
2,57,17,128493,saddlebrown_pentagon,saddlebrown_pentagon,1,2703,2055,0,conjunction,21,saddlebrown_pentagon,deeppink_pentagon,saddlebrown_cross,13,7,648,550,402,560,403,10,target,0
2,58,18,131196,red_hexagon,red_hexagon,1,1865,1149,0,conjunction,21,red_hexagon,purple_hexagon,red_ring,11,9,716,1157,344,1169,350,14,target,0
2,59,19,133061,royalblue_ring,royalblue_ring,1,2785,2121,0,conjunction,21,royalblue_ring,green_ring,royalblue_circle,13,7,664,1219,568,1218,577,9,target,0
2,60,20,135846,gold_hexagon,gold_hexagon,1,1995,1420,0,conjunction,21,gold_hexagon,red_hexagon,gold_cross,13,7,575,1163,265,1170,273,11,target,0
2,61,21,137841,deeppink_ring,deeppink_ring,1,2389,1679,0,conjunction,21,deeppink_ring,purple_ring,deeppink_square,12,8,710,490,424,487,423,3,target,0
2,62,22,140230,royalblue_square,royalblue_square,1,2396,1684,0,conjunction,21,royalblue_square,saddlebrown_square,royalblue_circle,12,8,712,1185,772,1169,761,19,target,0
2,63,23,142626,red_square,red_square,1,2254,1539,0,conjunction,21,red_square,royalblue_square,red_triangle,10,10,715,556,650,562,642,10,target,0
2,64,24,144880,darkturquoise_pentagon,darkturquoise_pentagon,1,2363,1564,0,conjunction,21,darkturquoise_pentagon,purple_pentagon,darkturquoise_star,12,8,799,737,638,743,636,6,target,0
2,65,25,147243,timeout,deeppink_ring,0,4677,4000,0,conjunction,21,deeppink_ring,red_ring,deeppink_diamond,11,9,677,629,261,-1,-1,-1,timeout,0
2,66,26,151950,green_hexagon,green_hexagon,1,3302,2613,0,conjunction,21,green_hexagon,purple_hexagon,green_circle,13,7,689,757,608,755,611,4,target,0
2,67,27,155252,red_star,red_star,1,2225,1438,0,conjunction,21,red_star,green_star,red_ring,11,9,787,1104,347,1093,347,11,target,0
2,68,28,157477,deeppink_triangle,deeppink_triangle,1,2940,2260,0,conjunction,21,deeppink_triangle,darkturquoise_triangle,deeppink_circle,10,10,680,366,354,357,352,9,target,0
2,69,29,160417,green_diamond,green_diamond,1,1911,1146,0,conjunction,21,green_diamond,purple_diamond,green_cross,13,7,765,689,498,697,501,9,target,0
2,70,30,162328,dimgray_star,dimgray_star,1,2388,1616,0,conjunction,21,dimgray_star,saddlebrown_star,dimgray_square,13,7,772,1272,419,1262,421,11,target,0
2,71,31,164716,royalblue_cross,royalblue_cross,1,1785,1180,0,conjunction,21,royalblue_cross,saddlebrown_cross,royalblue_pentagon,12,8,605,697,392,703,392,6,target,0
2,72,32,166501,darkturquoise_circle,darkturquoise_circle,1,2777,2196,0,conjunction,21,darkturquoise_circle,dimgray_circle,darkturquoise_semicircle,11,9,581,1267,642,1269,667,25,target,0
2,73,33,169278,darkorange_semicircle,darkorange_semicircle,1,3128,2591,0,conjunction,21,darkorange_semicircle,gold_semicircle,darkorange_diamond,13,7,537,606,663,612,645,19,target,0
