trialIndexGlobal,timestampMs,mouseX,mouseY
46,96234,971,464
46,96350,971,464
46,96466,971,464
46,96567,872,533
46,96682,798,556
46,96784,791,561
46,96900,823,585
46,97000,864,605
46,97100,878,615
46,97200,881,641
46,97300,849,673
46,97417,772,683
46,97517,713,683
46,97617,681,691
46,97733,805,696
46,97834,866,695
46,97934,527,599
46,98050,382,551
46,98150,379,544
46,98250,357,517
46,98367,357,513
46,98380,357,513
47,98467,357,513
47,98567,357,513
47,98683,357,513
47,98800,357,513
47,98900,422,494
47,99001,563,460
47,99116,587,453
47,99217,587,453
47,99334,597,451
47,99434,727,435
47,99549,818,442
47,99650,919,483
47,99766,1006,541
47,99883,1037,566
47,99983,982,597
47,100083,913,625
47,100184,781,643
47,100300,632,665
47,100417,581,713
47,100533,581,717
47,100607,583,717
48,100633,583,717
48,100733,583,717
48,100833,583,717
48,100950,593,707
48,101050,745,611
48,101166,784,590
48,101266,784,590
48,101383,784,590
48,101483,784,590
48,101583,784,590
48,101700,784,590
48,101816,784,590
48,101916,784,590
48,102017,745,532
48,102133,743,479
48,102234,780,452
48,102350,843,461
48,102452,910,505
48,102567,989,593
48,102666,1004,624
48,102766,990,666
48,102867,907,715
48,102967,833,705
48,103084,794,667
48,103200,789,660
48,103317,855,627
48,103433,912,540
48,103534,932,483
48,103651,965,427
48,103767,1018,431
48,103883,1134,482
48,103983,1227,494
48,104100,1232,497
48,104217,1213,485
48,104333,1209,485
48,104450,1204,483
48,104550,1195,483
48,104667,1193,483
48,104700,1193,483
49,104782,1193,483
49,104883,1193,483
49,104983,1193,483
49,105084,1193,483
49,105201,1148,527
49,105316,946,571
49,105416,905,559
49,105533,905,559
49,105633,905,559
49,105733,905,559
49,105833,905,559
49,105933,890,566
49,106033,755,601
49,106150,635,571
49,106250,531,481
49,106350,507,455
49,106450,499,443
49,106533,495,431
50,106565,495,431
50,106667,495,431
50,106782,495,431
50,106883,495,431
50,106983,495,431
50,107100,495,431
50,107201,495,431
50,107316,495,431
50,107416,495,431
50,107516,495,431
50,107617,577,433
50,107717,665,449
50,107817,693,457
50,107934,744,489
50,108051,819,571
50,108151,854,614
50,108266,879,656
50,108367,897,687
50,108468,956,678
50,108583,1057,645
50,108683,1105,619
50,108783,1117,603
50,108883,1125,597
50,108983,1100,615
50,109083,947,670
50,109184,629,690
50,109284,519,697
50,109400,419,738
50,109500,391,740
50,109617,524,511
50,109717,638,441
50,109817,754,448
50,109932,913,519
50,110034,994,547
50,110149,1035,579
50,110250,1051,609
50,110350,1065,657
50,110450,1064,725
50,110550,1019,800
50,110666,941,798
50,110767,923,779
50,110867,923,748
50,110967,923,752
50,111083,915,781
50,111183,913,787
50,111283,985,767
50,111301,994,764
51,111383,1052,751
51,111483,1086,749
51,111584,1113,739
51,111700,1077,738
51,111800,911,718
51,111917,891,621
51,112033,891,621
51,112133,891,621
51,112233,891,621
51,112333,891,621
51,112433,891,621
51,112534,821,621
51,112634,723,593
51,112734,614,612
51,112850,575,646
51,112950,763,695
51,113051,861,753
51,113167,910,753
51,113283,936,749
51,113383,939,749
51,113425,939,753
52,113483,939,753
52,113584,939,753
52,113699,939,753
52,113799,939,753
52,113900,825,764
52,114000,808,604
52,114100,821,583
52,114200,831,572
52,114317,831,572
52,114417,831,572
52,114534,826,575
52,114650,716,559
52,114750,681,523
52,114850,639,527
52,114965,615,533
52,115066,695,547
52,115167,811,639
52,115267,679,696
52,115383,601,696
52,115483,543,687
52,115583,534,711
52,115700,524,732
52,115706,524,732
53,115816,524,732
53,115932,524,732
53,116032,524,732
53,116133,524,732
53,116233,524,732
53,116333,588,692
53,116449,669,637
53,116551,708,588
53,116667,765,544
53,116767,805,529
53,116867,812,529
53,116983,704,553
53,117100,610,511
53,117200,611,510
53,117316,727,629
53,117416,648,679
53,117516,479,695
53,117616,416,707
53,117716,412,721
53,117817,373,806
53,117917,371,804
53,118017,366,790
53,118134,368,777
53,118140,368,777
54,118249,368,777
54,118349,368,777
54,118449,368,777
54,118549,368,777
54,118649,533,724
54,118750,646,700
54,118850,709,673
54,118965,709,673
54,119066,709,673
54,119166,794,635
54,119266,867,616
54,119366,872,642
54,119466,875,720
54,119566,975,699
54,119666,1004,640
54,119767,1041,608
54,119882,1162,649
54,119983,1132,632
54,120083,1084,601
54,120183,1084,600
54,120283,1118,615
54,120383,1210,640
54,120483,1237,666
54,120584,1216,727
54,120699,1143,751
54,120800,1027,705
54,120900,946,665
54,121000,874,648
54,121100,821,633
54,121216,755,621
54,121317,735,628
54,121433,661,649
54,121533,643,650
54,121650,736,668
54,121750,877,665
54,121866,993,643
54,121966,1047,612
54,122067,1073,588
54,122167,1075,577
54,122235,1073,561
55,122284,1073,561
55,122400,1073,561
55,122516,1073,561
55,122616,1073,561
55,122717,919,599
55,122833,873,553
55,122933,869,542
55,123033,869,542
55,123150,869,542
55,123266,869,542
55,123366,869,542
55,123466,823,544
55,123566,663,525
55,123667,642,515
55,123784,637,519
55,123899,551,583
55,124000,501,583
55,124100,591,601
55,124216,742,625
55,124317,844,629
55,124417,913,625
55,124533,1023,624
55,124633,1060,617
55,124733,1077,598
55,124833,1111,549
55,124933,1119,449
55,125050,1107,401
55,125150,1087,341
55,125267,1087,335
55,125336,1085,335
56,125382,1085,335
56,125482,1085,335
56,125582,1085,335
56,125682,1085,335
56,125783,1018,433
56,125883,899,453
56,125983,855,444
56,126100,855,444
56,126216,855,444
56,126316,855,454
56,126417,815,504
56,126533,761,533
56,126633,751,537
56,126749,695,542
56,126850,738,542
56,126966,883,585
56,127066,953,615
56,127166,989,625
56,127266,989,620
56,127366,1009,599
56,127466,1062,562
56,127566,1025,482
56,127666,973,461
56,127766,807,519
56,127867,697,547
56,127966,658,553
56,128066,1001,377
56,128166,1162,335
56,128267,1171,337
56,128383,1195,347
56,128483,1197,368
56,128493,1197,369
57,128583,1193,364
57,128683,1193,363
57,128784,1193,363
57,128900,1166,394
57,129000,1035,435
57,129116,978,390
57,129216,973,385
57,129316,973,385
57,129416,973,385
57,129517,953,394
57,129632,877,419
57,129733,827,444
57,129849,820,469
57,129950,819,477
57,130066,771,457
57,130167,735,436
57,130283,724,417
57,130399,725,405
57,130499,737,408
57,130600,740,413
57,130700,644,401
57,130816,583,393
57,130917,581,393
57,131017,581,401
57,131133,569,403
57,131196,560,403
58,131249,560,403
58,131349,560,403
58,131450,560,403
58,131566,560,403
58,131666,560,403
58,131766,735,389
58,131867,773,392
58,131984,815,398
58,132099,875,413
58,132199,883,417
58,132299,883,424
58,132400,835,427
58,132516,781,417
58,132616,1012,361
58,132717,1099,347
58,132833,1127,331
58,132933,1146,338
58,133034,1167,347
58,133061,1169,350
59,133150,1169,350
59,133250,1169,350
59,133366,1169,350
59,133482,1169,350
59,133582,1010,423
59,133684,893,448
59,133800,861,458
59,133900,821,481
59,134016,815,483
59,134116,811,483
59,134217,735,518
59,134317,696,535
59,134433,693,540
59,134533,767,578
59,134633,832,612
59,134733,925,624
59,134833,1042,637
59,134933,1069,657
59,135033,1075,679
59,135133,1011,683
59,135233,875,611
59,135349,905,573
59,135450,1133,588
59,135565,1195,593
59,135665,1207,587
59,135765,1218,577
59,135846,1218,577
60,135865,1218,577
60,135966,1218,577
60,136066,1218,577
60,136166,1218,577
60,136266,1218,577
60,136382,1218,577
60,136483,1067,593
60,136599,915,538
60,136699,887,498
60,136799,869,476
60,136899,869,479
60,136999,932,528
60,137099,999,527
60,137200,1064,493
60,137301,1168,407
60,137417,1227,309
60,137533,1222,273
60,137649,1181,274
