SESSION METADATA
participantID,1
sessionID,1
musicCondition,1
game,memoryMatrix
inputDevice,mouse
phase,assessment
sessionStartUTC,2026-07-08T09:14:58.433Z
sessionDurationMs,578353
windowWidth,1536
windowHeight,695
devicePixelRatio,1.25
responseWindowsMs,6000/6000/6000
itiMs,150
stimulusMs,1500
retentionMs,1000
trialsPerLevel,20
pointerLockUsed,1

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,stage,gridSize,nTargets,targetCells,clickedCells,nHits,nMisses,nFalseAlarms,score,clickTimesMs,outOfBoundsClickCount,gridOriginX,gridOriginY,cellSizePx
2,38,18,350951,done,done,1,7993,5493,0,3,5,8,"2,1;1,2;2,4;1,3;2,3;2,2;4,0;0,0","2,4;2,3;2,2;2,1;1,2;1,3;0,0;4,0",8,0,0,1,941;1306;1628;1939;2323;2907;3379;3987,0,578,158,76
2,39,19,359096,done,done,1,6849,4349,0,3,5,8,"4,0;0,0;4,1;1,4;0,1;2,0;1,1;4,3","1,4;4,3;4,1;4,0;2,0;0,0;0,1;1,1",8,0,0,1,643;1299;1667;1899;2331;2978;3291;3627,0,578,158,76
2,40,20,366110,done,done,1,7618,5118,0,3,5,8,"0,2;2,4;4,0;2,2;3,3;3,4;4,3;3,0","3,0;4,0;2,4;3,4;3,3;4,3;2,2;0,2",8,0,0,1,692;1007;2357;2605;2910;3188;3621;4398,1,578,158,76
3,41,1,398472,done,done,-1,7928,5428,0,1,6,8,"1,0;3,4;2,1;2,5;4,1;3,1;3,3;4,2","1,0;2,1;3,1;4,1;4,3;3,2;4,2;3,5;2,5;1,5",6,2,4,0.75,1011;1622;1938;2251;2578;3171;3395;4348;4580;4997,0,579,159,63
3,42,2,406566,done,done,-1,7058,4558,0,1,6,8,"0,1;2,0;2,5;5,4;4,0;5,2;3,4;0,0","0,1;0,0;3,0;2,0;5,0;5,2;4,4;3,4;2,5",6,2,3,0.75,876;1252;1724;2086;2412;3062;3468;3740;4149,0,579,159,63
3,43,3,413780,timeout,done,0,8500,6000,0,1,6,8,"3,5;5,3;2,3;5,4;0,5;5,1;1,3;4,2","0,5;3,5;1,3;2,3;5,2;4,3;5,4",5,3,2,0.625,1008;1630;2166;2536;3782;5015;5638,0,579,159,63
3,44,4,422456,done,done,-1,7448,4948,0,1,6,8,"5,4;4,3;2,2;0,4;1,2;4,1;3,1;4,2","0,4;5,4;4,3;4,2;4,1;2,1;3,1;2,2;1,2",8,0,1,1,859;1434;1979;2314;2627;2859;3235;3578;3932,1,579,159,63
3,45,5,430069,done,done,-1,7683,5183,0,1,6,8,"4,1;2,3;5,3;0,5;2,5;0,3;2,1;5,4","0,4;2,5;2,4;2,3;0,3;3,2;3,1;5,3;5,4;5,5",5,3,5,0.625,808;1294;1773;2078;2373;3270;3702;4014;4334;4712,0,579,159,63
3,46,6,437914,done,done,-1,7934,5434,0,1,6,8,"0,4;5,2;1,4;0,1;3,3;5,1;2,5;0,2","0,4;1,4;3,5;2,3;2,4;2,5;0,2;5,1",5,3,3,0.625,1058;1281;1792;2240;2496;3017;3591;4472,2,579,159,63
3,47,7,446009,done,done,-1,7706,5206,0,1,6,8,"0,4;2,3;4,2;3,3;2,2;3,5;3,0;5,0","0,4;3,5;2,2;3,3;2,3;4,1;3,0",6,2,1,0.75,961;1603;2251;2545;3121;3722;4266,0,579,159,63
3,48,8,453870,done,done,-1,8481,5981,0,2,6,9,"2,4;0,0;2,0;1,4;2,3;4,0;5,4;0,2;5,5","0,0;2,0;4,0;0,2;1,4;2,4;2,3;5,5",8,1,0,0.889,867;1380;2085;3060;3940;4172;4459;5188,0,579,159,63
3,49,9,462513,done,done,1,7598,5098,0,2,6,9,"5,4;5,2;0,5;1,5;4,2;2,0;2,5;5,3;4,4","0,5;1,5;2,5;5,4;4,4;5,3;5,2;4,2;2,0",9,0,0,1,929;1242;1633;2465;2753;3120;3467;3704;4289,0,579,159,63
3,50,10,470276,timeout,done,0,8500,6000,0,2,6,9,"4,3;5,5;1,2;2,3;2,0;5,3;0,1;4,5;0,3","4,5;5,5;4,4;4,3;5,3;0,3;2,3;0,1;3,0",7,2,2,0.778,775;1135;1558;2222;2471;3569;3967;4590;5928,0,579,159,63
3,51,11,478952,timeout,done,0,8500,6000,0,2,6,9,"0,5;0,3;5,2;5,5;3,2;2,2;3,4;3,1;2,4","0,5;0,3;5,5;2,4;3,4;3,2;5,2;3,1",8,1,0,0.889,610;1131;1843;2482;2668;3210;3739;5547,0,579,159,63
3,52,12,487628,timeout,done,0,8500,6000,0,2,6,9,"3,3;2,4;3,2;1,4;4,5;2,0;2,1;3,5;0,1","3,5;4,5;3,3;3,2;2,4;1,4;2,1;2,0;1,1;0,1",9,0,1,1,918;1277;1733;2326;2813;3125;3677;4063;4446;4981,1,579,159,63
3,53,13,496304,timeout,done,0,8500,6000,0,2,6,9,"5,1;4,2;2,4;0,2;5,4;4,0;0,0;4,5;0,1","0,2;0,1;0,0;4,0;5,1;4,2;4,5;5,5;2,4;2,3",8,1,2,0.889,643;985;1290;1930;2241;2562;3353;3850;4995;5218,1,579,159,63
3,54,14,504981,done,done,-1,7227,4727,0,3,6,10,"3,0;5,2;3,4;3,3;2,3;1,0;4,3;3,5;2,1;4,1","3,5;3,4;3,3;2,3;4,3;3,0;4,1;5,2;2,1",9,1,0,0.9,958;1269;1573;1933;2245;2749;3053;3358;3925,0,579,159,63
3,55,15,512361,timeout,done,0,8500,6000,0,3,6,10,"0,3;2,2;3,1;5,4;4,2;1,4;3,3;5,5;3,2;2,5","0,3;1,4;2,5;2,2;3,2;3,3;4,1;3,1;4,2;5,5;5,4",10,0,1,1,785;1123;1617;2961;3284;3514;3841;4315;4562;5011;5386,0,579,159,63
3,56,16,521037,timeout,done,0,8500,6000,0,3,6,10,"5,1;3,5;4,1;2,1;2,3;0,1;4,5;0,5;2,2;4,0","0,5;0,2;3,1;2,1;4,1;3,2;3,3",3,7,4,0.3,845;2309;2941;4060;4405;4948;5343,0,579,159,63
3,57,17,529714,done,done,-1,8206,5706,0,3,6,10,"2,2;4,0;4,2;5,1;2,0;4,4;0,1;3,3;5,4;5,3","4,4;5,4;5,3;3,3;2,2;3,1;4,2;5,1;2,0;0,1",9,1,1,0.9,681;1001;1248;1761;2705;3026;3353;3673;4299;4873,0,579,159,63
3,58,18,538074,done,done,1,7750,5250,0,3,6,10,"4,4;0,4;3,1;5,5;2,2;3,0;3,2;0,5;0,2;2,1","0,5;0,4;0,2;4,4;5,5;2,2;3,2;3,1;2,1;3,0",10,0,0,1,600;938;1370;2105;2401;3143;3455;3744;3944;4272,0,579,159,63
3,59,19,545986,done,done,-1,7472,4972,0,3,6,10,"4,5;1,1;2,4;2,0;1,3;0,4;1,2;2,3;0,1;5,2","0,1;1,1;1,2;1,3;2,3;2,0;5,3;4,5;0,3",7,3,2,0.7,736;1017;1297;1568;1889;2354;3080;3825;4432,0,579,159,63
3,60,20,553615,done,done,-1,7690,5190,0,3,6,10,"4,5;0,3;2,5;2,1;5,0;4,4;5,1;2,2;4,0;1,5","4,0;5,0;5,1;2,2;2,3;0,4;2,5;1,5;5,3",6,4,3,0.6,660;883;1195;2140;2395;2852;3268;3595;4251,1,579,159,63
