trialIndexGlobal,timestampMs,mouseX,mouseY
27,42728,595,578
27,42844,596,586
27,42936,596,587
28,42960,597,587
28,43076,597,587
28,43193,597,587
28,43309,597,587
28,43426,599,586
28,43542,599,586
28,43658,604,581
28,43774,623,563
28,43891,650,535
28,44007,659,413
28,44124,535,339
28,44240,466,260
28,44356,461,217
28,44473,448,195
28,44535,448,194
29,44589,448,194
29,44705,448,196
29,44822,448,196
29,44922,448,204
29,45038,448,205
29,45154,448,207
29,45254,448,207
29,45370,452,214
29,45487,472,252
29,45603,605,419
29,45719,614,289
29,45836,591,162
29,45952,587,144
29,46038,587,143
30,46068,587,143
30,46184,584,145
30,46301,582,149
30,46417,581,158
30,46534,581,158
30,46650,581,158
30,46766,581,162
30,46883,586,186
30,46999,596,192
30,47116,599,191
30,47232,508,202
30,47348,488,235
30,47464,523,262
30,47550,524,263
31,47581,524,263
31,47697,525,263
31,47797,525,263
31,47913,525,263
31,48030,525,263
31,48146,525,263
31,48262,525,263
31,48379,536,287
31,48495,642,303
31,48611,1103,257
31,48728,1091,215
31,48844,1096,159
31,48960,1104,142
31,48974,1104,142
32,49077,1105,141
32,49193,1106,141
32,49293,1104,147
32,49409,1103,150
32,49526,1103,150
32,49642,1103,150
32,49758,1103,150
32,49874,1093,159
32,49991,1091,162
32,50107,992,219
32,50224,1076,324
32,50340,1164,396
32,50456,1176,409
32,50573,1176,413
32,50689,1161,404
32,50742,1161,404
33,50805,1161,404
33,50922,1161,404
33,51038,1161,404
33,51154,1161,404
33,51271,1161,404
33,51387,1156,404
33,51504,1152,403
33,51620,1136,403
33,51736,996,396
33,51853,624,227
33,51969,605,204
33,52085,584,203
33,52201,498,228
33,52318,498,228
33,52434,508,228
33,52550,516,241
33,52593,516,243
34,52650,517,243
34,52767,517,243
34,52883,517,240
34,52999,517,240
34,53099,524,239
34,53215,541,250
34,53332,621,295
34,53448,728,339
34,53548,753,346
34,53664,913,264
34,53781,960,235
34,53897,960,235
34,54013,945,235
34,54113,936,238
34,54150,936,238
35,54229,936,238
35,54329,936,238
35,54445,936,238
35,54562,936,238
35,54678,936,238
35,54794,936,238
35,54911,936,238
35,55027,936,238
35,55143,866,239
