SESSION METADATA
participantID,1
sessionID,1
musicCondition,1
game,memoryMatrix
inputDevice,mouse
phase,assessment
sessionStartUTC,2026-07-07T18:56:58.699Z
sessionDurationMs,497308
windowWidth,1536
windowHeight,695
devicePixelRatio,1.25
responseWindowsMs,6000/6000/6000
itiMs,150
stimulusMs,1500
retentionMs,1000
trialsPerLevel,20
pointerLockUsed,1

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,stage,gridSize,nTargets,targetCells,clickedCells,nHits,nMisses,nFalseAlarms,score,clickTimesMs,outOfBoundsClickCount,gridOriginX,gridOriginY,cellSizePx
2,38,18,276816,done,done,-1,6782,4282,0,3,5,8,"1,0;2,0;1,3;0,1;0,0;3,0;4,1;2,1","1,3;0,1;0,0;1,0;2,0;3,0;3,2;3,1;4,1",7,1,2,0.875,418;1048;1327;1559;2176;2432;2770;3202;3393,1,578,158,76
2,39,19,283763,done,done,1,6827,4327,0,3,5,8,"2,4;2,2;3,1;1,1;2,1;0,4;2,3;4,0","0,4;4,0;1,1;2,1;3,1;2,2;2,3;2,4",8,0,0,1,852;1412;1957;2189;2478;2844;3237;3669,0,578,158,76
2,40,20,290744,done,done,-1,7365,4865,0,3,5,8,"3,2;2,1;1,1;0,4;0,0;0,2;4,2;4,0","0,2;0,0;1,1;2,1;3,1;4,1;4,2;0,4;4,0",7,1,2,0.875,777;1144;1714;1983;2280;2623;2911;3586;4234,0,578,158,76
3,41,1,323522,done,done,-1,7883,5383,0,1,6,8,"0,1;3,4;4,0;2,0;1,4;3,0;2,3;3,3","1,4;2,3;3,3;3,4;0,1;2,0;3,0;4,0;3,1",8,0,1,1,760;1101;1326;1599;2318;3136;3320;3569;3926,1,579,159,63
3,42,2,331566,done,done,1,6688,4188,0,1,6,8,"2,2;4,0;4,5;1,4;3,1;2,4;0,1;5,5","0,1;2,2;3,1;4,0;1,4;2,4;4,5;5,5",8,0,0,1,817;1393;1691;2025;2729;2938;3425;3635,0,579,159,63
3,43,3,338414,done,done,1,7087,4587,0,1,6,8,"4,4;1,2;0,4;2,0;0,3;1,0;1,4;3,4","3,4;4,4;1,4;0,4;0,3;1,2;1,0;2,0",8,0,0,1,626;850;1323;1555;1801;2929;3777;3945,0,579,159,63
3,44,4,345661,done,done,-1,7568,5068,0,1,6,8,"5,4;3,5;2,1;0,2;2,2;4,2;0,4;2,3","3,5;5,4;4,2;0,2;0,4;1,3;2,3;2,2",7,1,1,0.875,697;1243;2034;2722;3050;3933;4145;4378,0,579,159,63
3,45,5,353390,done,done,1,6296,3796,0,1,6,8,"4,5;3,5;5,3;3,1;4,2;0,0;2,4;1,4","3,5;4,5;1,4;2,4;5,3;4,2;3,1;0,0",8,0,0,1,667;876;1336;1523;2049;2297;2627;3018,0,579,159,63
3,46,6,359839,done,done,-1,6535,4035,0,1,6,8,"4,0;3,3;4,1;3,4;5,5;2,0;4,3;2,4","5,5;2,4;3,4;3,3;4,3;3,0;4,0;2,0",7,1,1,0.875,904;1536;1713;2056;2224;2738;2912;3319,0,579,159,63
3,47,7,366537,done,done,-1,7764,5264,0,1,6,8,"5,4;2,1;2,2;0,4;3,2;3,5;3,4;5,2","0,4;3,4;3,5;5,4;5,1;2,1;2,2;3,2;5,2",8,0,1,1,718;1182;1557;1925;2357;3053;3261;3493;4118,1,579,159,63
3,48,8,374466,done,done,-1,7564,5064,0,2,6,9,"0,2;4,3;5,1;1,3;5,2;0,3;1,2;1,0;2,3","1,0;0,2;0,3;1,3;1,2;2,3;4,3;5,2",8,1,0,0.889,838;2197;2454;2672;2966;3229;3773;4166,0,579,159,63
3,49,9,382195,done,done,-1,7442,4942,0,2,6,9,"2,3;3,0;0,0;1,2;3,5;2,5;1,4;4,4;2,1","1,2;2,1;4,0;3,0;0,0;2,3;1,4;3,4;4,4",7,2,2,0.778,695;944;1253;1808;2293;2878;3420;3828;4557,0,579,159,63
3,50,10,389791,done,done,1,6895,4395,0,2,6,9,"1,4;1,0;5,2;5,0;2,1;0,1;4,2;4,1;0,5","0,5;1,4;0,1;1,0;2,1;4,1;4,2;5,2;5,0",9,0,0,1,674;890;1400;1761;2048;2474;2739;3056;3457,0,579,159,63
3,51,11,396838,done,done,-1,7567,5067,0,2,6,9,"5,3;2,4;0,3;3,2;4,0;2,3;1,0;1,4;3,4","1,4;2,4;2,3;3,4;0,3;5,3;4,2;1,0;4,0",8,1,1,0.889,722;929;1186;1457;2187;2778;3210;3577;4274,1,579,159,63
3,52,12,404567,done,done,-1,7998,5498,0,2,6,9,"2,5;2,3;0,1;2,4;3,1;4,3;2,0;4,1;1,0","0,1;1,0;2,1;3,1;4,0;1,5;2,5;2,4;3,5;5,2",5,4,5,0.556,687;1193;1576;1792;2399;3360;3561;4056;4274;4800,0,579,159,63
3,53,13,412728,done,done,1,7021,4521,0,2,6,9,"1,4;0,0;2,0;2,1;2,5;4,4;1,0;0,2;2,3","4,4;2,5;1,4;2,3;0,2;0,0;1,0;2,0;2,1",9,0,0,1,664;1264;1625;1960;2512;3063;3263;3471;3743,0,579,159,63
3,54,14,419909,done,done,-1,7721,5221,0,3,6,10,"4,4;4,5;5,5;4,1;4,0;1,3;1,5;3,0;3,4;3,5","1,5;1,3;3,4;4,4;3,5;4,5;5,5;2,0;3,0;3,1",8,2,2,0.8,731;1076;1542;1779;2098;2340;2706;3525;4101;4371,0,579,159,63
3,55,15,427787,done,done,-1,7634,5134,0,3,6,10,"0,3;3,0;1,1;0,2;4,0;2,0;1,4;0,5;1,0;0,1","0,5;1,4;0,2;0,1;0,0;1,0;1,1;2,0;3,0;4,0",9,1,1,0.9,743;1077;1748;2093;2684;2932;3181;3596;3870;4185,0,579,159,63
3,56,16,435582,timeout,done,0,8500,6000,0,3,6,10,"2,2;2,3;4,0;5,0;0,4;4,4;3,5;1,3;1,0;5,5","3,5;4,4;5,5;0,4;1,3;1,2;2,2;1,0;3,0;4,0;5,0",9,1,2,0.9,850;1153;1474;2201;3737;4009;4209;4857;5217;5498;5849,0,579,159,63
3,57,17,444244,done,done,-1,7402,4902,0,3,6,10,"0,2;5,2;4,0;0,1;4,5;0,4;1,4;3,0;2,0;0,0","0,2;0,1;0,0;2,0;3,0;4,0;5,4;4,5;2,5;1,3",7,3,3,0.7,845;1102;1375;1749;2039;2318;3397;3736;4038;4432,0,579,159,63
3,58,18,451805,done,done,-1,6969,4469,0,3,6,10,"5,1;2,0;3,5;1,0;5,2;2,1;1,5;5,4;3,1;4,0","5,4;5,2;5,1;1,0;2,0;3,0;1,5;2,4;3,5",7,3,2,0.7,660;1027;1298;2003;2223;2453;3170;3451;3700,1,579,159,63
3,59,19,458936,timeout,done,0,8500,6000,0,3,6,10,"0,5;1,3;0,2;2,1;4,2;1,0;1,5;0,4;4,4;4,3","4,4;4,3;4,2;0,4;0,5;1,5;1,3;0,2;1,1;0,0",8,2,2,0.8,610;904;1167;1882;2673;2987;3424;3736;5360;5704,1,579,159,63
3,60,20,467612,done,done,1,7315,4815,0,3,6,10,"3,1;3,0;0,2;5,2;4,2;5,3;1,2;3,2;2,2;1,3","0,2;1,2;2,2;3,2;4,2;5,2;5,3;1,3;3,1;3,0",10,0,0,1,524;788;1100;1390;1764;2084;2422;3053;3660;3971,0,579,159,63
