trialIndexGlobal,timestampMs,mouseX,mouseY
22,40090,355,665
23,40188,355,665
23,40303,355,665
23,40404,355,665
23,40504,355,665
23,40620,462,651
23,40720,687,596
23,40820,814,543
23,40937,816,541
23,41037,816,541
23,41153,864,452
23,41270,905,442
23,41370,917,436
23,41471,925,425
23,41587,930,411
23,41688,935,399
23,41804,935,399
23,41825,935,399
24,41921,935,399
24,42038,935,399
24,42154,935,399
24,42254,935,399
24,42371,935,399
24,42471,935,399
24,42588,935,399
24,42704,909,422
24,42820,863,410
24,42920,779,446
24,43037,648,711
24,43153,668,738
24,43271,675,728
24,43387,698,700
24,43503,698,700
24,43554,698,700
25,43603,698,700
25,43704,698,700
25,43804,698,700
25,43920,698,700
25,44020,702,692
25,44120,790,526
25,44237,841,454
25,44337,866,425
25,44437,874,422
25,44553,877,422
25,44671,877,422
25,44787,848,485
25,44887,846,488
25,44988,846,488
25,45075,846,488
26,45104,846,488
26,45221,846,488
26,45338,846,488
26,45453,846,488
26,45555,846,488
26,45671,846,488
26,45788,846,488
26,45904,846,488
26,46023,827,483
26,46137,802,469
26,46237,862,432
26,46337,911,447
26,46454,932,448
26,46570,969,467
26,46671,970,467
26,46773,970,467
27,46787,970,467
27,46888,970,467
27,47004,970,467
27,47105,970,467
27,47205,970,467
27,47321,970,467
27,47421,970,467
27,47537,970,467
27,47637,943,466
27,47753,898,423
27,47854,858,398
27,47970,835,374
27,48071,833,374
27,48171,833,374
27,48214,833,374
28,48271,833,374
28,48388,833,374
28,48488,833,374
28,48604,833,374
28,48705,833,374
28,48821,833,374
28,48937,833,374
28,49053,864,418
28,49155,866,439
28,49255,857,466
28,49370,916,468
28,49470,1130,440
28,49570,1198,446
28,49688,1232,459
28,49804,1241,475
28,49905,1241,475
28,49958,1241,475
29,50021,1241,475
29,50121,1241,475
29,50238,1241,475
29,50338,1241,475
29,50438,1241,475
29,50553,1112,458
29,50655,971,429
29,50770,892,422
29,50887,866,422
29,51004,827,452
29,51120,962,637
29,51237,1051,782
29,51337,1069,776
29,51454,1073,767
29,51570,1069,758
29,51671,1066,756
29,51772,1066,756
29,51794,1066,756
30,51888,1066,756
30,52004,1066,756
30,52104,1066,756
30,52204,1066,756
30,52305,1066,756
30,52420,966,686
30,52521,876,535
30,52637,872,466
30,52754,870,462
30,52854,906,453
30,52954,1022,430
30,53070,1075,438
30,53170,1087,440
30,53271,1092,440
30,53384,1092,440
31,53388,1092,440
31,53504,1092,440
31,53621,1092,440
31,53721,1092,440
31,53837,1092,440
31,53937,1092,440
31,54053,1092,440
31,54153,1050,455
31,54254,943,476
31,54354,932,478
31,54454,870,496
31,54554,719,527
31,54654,561,543
31,54770,486,562
31,54887,434,571
31,55004,395,572
31,55105,393,572
31,55201,393,572
32,55220,393,572
32,55321,393,572
32,55437,393,572
32,55537,393,572
32,55637,393,572
32,55754,619,522
32,55870,805,478
32,55970,903,469
32,56071,904,469
32,56186,888,467
32,56287,430,258
32,56387,355,206
32,56487,354,205
32,56604,418,232
32,56704,452,250
32,56788,458,254
33,56804,458,254
33,56920,458,254
33,57021,458,254
33,57137,496,268
33,57253,650,340
33,57354,656,346
33,57454,656,346
33,57570,770,374
33,57670,820,400
33,57770,864,413
33,57887,878,436
33,57987,836,534
33,58087,817,538
33,58203,816,542
33,58304,816,545
33,58386,816,548
34,58404,816,548
34,58521,816,548
34,58622,816,548
34,58738,816,548
34,58853,830,475
34,58970,834,454
34,59070,835,452
34,59171,835,452
34,59287,793,434
34,59387,767,428
34,59487,790,456
34,59587,792,490
34,59703,776,659
34,59820,781,739
34,59920,781,739
34,59979,781,739
35,60037,781,739
35,60138,781,739
35,60254,781,739
35,60370,798,644
35,60487,814,536
35,60587,826,472
35,60688,826,471
35,60803,826,471
35,60903,808,516
35,61004,785,532
35,61120,666,342
35,61220,618,190
35,61320,631,185
35,61437,654,208
35,61553,659,224
35,61582,670,234
36,61653,670,234
36,61753,670,234
36,61854,670,234
36,61970,670,234
36,62086,750,311
36,62186,816,380
36,62286,855,475
36,62387,854,483
36,62487,854,483
36,62603,689,622
