SESSION METADATA
participantID,hassan
sessionID,01
musicCondition,silence
game,starSearch
inputDevice,mouse
phase,assessment
sessionStartUTC,2026-07-09T09:06:47.172Z
sessionDurationMs,279905
windowWidth,1634
windowHeight,962
devicePixelRatio,1.5
responseWindowsMs,5000/4000/2500
fixationJitterMs,500-800
itemSizePx,56
trialsPerLevel,40

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,searchType,setSize,targetItem,distractor1Item,distractor2Item,distractor1Count,distractor2Count,fixationDuration,targetX,targetY,clickX,clickY,clickDistance,clickedItemType,emptyClickCount
2,62,22,132745,deeppink_cross,deeppink_cross,1,2319,1539,0,conjunction,21,deeppink_cross,darkturquoise_cross,deeppink_circle,13,7,780,633,401,642,405,10,target,0
2,63,23,135064,royalblue_triangle,royalblue_triangle,1,2833,2140,0,conjunction,21,royalblue_triangle,gold_triangle,royalblue_pentagon,10,10,693,589,772,572,784,21,target,0
2,64,24,137897,darkturquoise_circle,darkturquoise_circle,1,2758,1966,0,conjunction,21,darkturquoise_circle,royalblue_circle,darkturquoise_diamond,10,10,792,498,476,492,477,6,target,0
2,65,25,140654,red_star,red_star,1,2396,1754,0,conjunction,21,red_star,royalblue_star,red_semicircle,11,9,642,363,657,346,657,17,target,0
2,66,26,143050,dimgray_pentagon,dimgray_pentagon,1,1569,888,0,conjunction,21,dimgray_pentagon,green_pentagon,dimgray_star,10,10,681,689,568,691,560,8,target,0
2,67,27,144619,green_hexagon,green_hexagon,1,2210,1479,0,conjunction,21,green_hexagon,darkturquoise_hexagon,green_cross,13,7,731,585,756,581,757,4,target,0
2,68,28,146829,saddlebrown_square,saddlebrown_square,1,2317,1598,0,conjunction,21,saddlebrown_square,purple_square,saddlebrown_triangle,12,8,719,358,215,341,219,18,target,0
2,69,29,149146,royalblue_pentagon,royalblue_pentagon,1,2225,1534,0,conjunction,21,royalblue_pentagon,purple_pentagon,royalblue_triangle,11,9,691,1086,236,1094,227,12,target,0
2,70,30,151372,deeppink_circle,deeppink_circle,1,2547,1859,0,conjunction,21,deeppink_circle,darkorange_circle,deeppink_diamond,13,7,688,719,745,712,739,9,target,0
2,71,31,153919,green_cross,green_cross,1,2382,1590,0,conjunction,21,green_cross,dimgray_cross,green_pentagon,11,9,792,826,484,832,479,7,target,0
2,72,32,156301,purple_square,purple_square,1,2491,1815,0,conjunction,21,purple_square,darkorange_square,purple_diamond,12,8,676,1009,508,1004,524,17,target,0
2,73,33,158792,gold_pentagon,gold_pentagon,1,1936,1300,0,conjunction,21,gold_pentagon,saddlebrown_pentagon,gold_star,12,8,636,1275,355,1275,354,1,target,0
2,74,34,160728,darkturquoise_star,darkturquoise_star,1,2837,2183,0,conjunction,21,darkturquoise_star,purple_star,darkturquoise_diamond,13,7,654,1208,517,1202,495,23,target,0
2,75,35,163566,gold_diamond,gold_diamond,1,3503,2751,0,conjunction,21,gold_diamond,royalblue_diamond,gold_circle,12,8,752,650,264,652,249,16,target,0
2,76,36,167069,saddlebrown_square,saddlebrown_square,1,2129,1597,0,conjunction,21,saddlebrown_square,purple_square,saddlebrown_semicircle,13,7,532,397,582,421,580,24,target,0
2,77,37,169197,darkturquoise_diamond,darkturquoise_diamond,1,4012,3261,0,conjunction,21,darkturquoise_diamond,darkorange_diamond,darkturquoise_triangle,10,10,751,822,511,854,500,34,target,0
2,78,38,173210,darkturquoise_diamond,darkturquoise_diamond,1,2286,1733,0,conjunction,21,darkturquoise_diamond,purple_diamond,darkturquoise_triangle,13,7,553,422,248,432,259,15,target,0
2,79,39,175496,red_ring,red_ring,1,2149,1433,0,conjunction,21,red_ring,deeppink_ring,red_pentagon,11,9,716,846,317,849,322,6,target,0
2,80,40,177645,purple_semicircle,purple_semicircle,1,2059,1382,0,conjunction,21,purple_semicircle,dimgray_semicircle,purple_ring,10,10,677,967,571,980,548,27,target,0
3,81,1,181404,dimgray_square,dimgray_square,1,1578,1027,0,conjunction,41,dimgray_square,saddlebrown_square,dimgray_cross,25,15,551,784,395,795,388,13,target,0
3,82,2,182983,timeout,dimgray_circle,0,3252,2500,0,conjunction,41,dimgray_circle,green_circle,dimgray_hexagon,20,20,752,920,599,-1,-1,-1,timeout,0
