SESSION METADATA
participantID,hassan
sessionID,01
musicCondition,silence
game,chalkboardChallenge
inputDevice,keyboard_arrow
phase,assessment
sessionStartUTC,2026-07-09T09:14:50.684Z
sessionDurationMs,320273
windowWidth,1634
windowHeight,962
devicePixelRatio,1.5
responseWindowsMs,6000/5000/4000
diffRatioBands,0.3-0.6/0.15-0.3/0.1-0.15
itiMs,150
trialsPerLevel,40

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,leftExpr,rightExpr,leftValue,rightValue,diffRatio,operators,nTermsLeft,nTermsRight,hasPrecedence
2,65,25,135037,right,right,1,2943,2943,0,40 + 46 - 39,41 + 17,47,58,0.1897,"+,-",3,2,0
2,66,26,138137,right,left,-1,2182,2182,0,44 + 35 - 16,34 + 15,63,49,0.2222,"+,-",3,2,0
2,67,27,140470,right,left,-1,2123,2123,0,9 + 43,18 + 25,52,43,0.1731,+,2,2,0
2,68,28,142753,right,right,1,3268,3268,0,28 - 14,47 - 41 + 11,14,17,0.1765,"+,-",2,3,0
2,69,29,146187,left,left,1,2409,2409,0,18 + 47 + 34,37 - 9 + 50,99,78,0.2121,"+,-",3,3,0
2,70,30,148754,left,left,1,2138,2138,0,36 + 37,43 + 11,73,54,0.2603,+,2,2,0
2,71,31,151053,left,left,1,2830,2830,0,13 + 23 + 32,18 + 24 + 10,68,52,0.2353,+,3,3,0
2,72,32,154037,left,left,1,3085,3085,0,2 * 38,26 + 35,76,61,0.1974,"+,*",2,2,0
2,73,33,157287,right,right,1,3008,3008,0,44 + 7,18 * 4,51,72,0.2917,"+,*",2,2,0
2,74,34,160453,right,right,1,3779,3779,0,5 * 9 - 22,8 * 4,23,32,0.2813,"-,*",3,2,1
2,75,35,164386,right,right,1,4544,4544,0,23 + 23,50 + 48 - 36,46,62,0.2581,"+,-",2,3,0
2,76,36,169087,right,right,1,3574,3574,0,49 - 19,21 * 2,30,42,0.2857,"-,*",2,2,0
2,77,37,172820,right,right,1,1954,1954,0,36 + 9 + 23,11 * 8,68,88,0.2273,"+,*",3,2,0
2,78,38,174937,left,left,1,3706,3706,0,47 * 3 - 43,48 + 28,98,76,0.2245,"+,-,*",3,2,1
2,79,39,178804,timeout,right,0,5000,5000,0,34 - 16 + 50,6 * 16,68,96,0.2917,"+,-,*",3,2,0
2,80,40,183986,right,right,1,3615,3615,0,29 * 8 + 39,8 * 41,271,328,0.1738,"+,*",3,2,1
3,81,1,191236,left,left,1,3154,3154,0,41 + 60 / 6,88 / 8 + 34,51,45,0.1176,"+,/",3,3,1
3,82,2,194554,left,right,-1,3268,3268,0,27 / 9 + 36,31 + 78 / 6,39,44,0.1136,"+,/",3,3,1
3,83,3,197987,left,left,1,2491,2491,0,23 + 5 * 4,50 - 84 / 7,43,38,0.1163,"+,-,*,/",3,3,1
3,84,4,200636,timeout,left,0,4000,4000,0,24 / 3 + 28,98 / 7 + 17,36,31,0.1389,"+,/",3,3,1
3,85,5,204804,left,left,1,2815,2815,0,50 / 5 + 39,11 * 6 - 24,49,42,0.1429,"+,-,*,/",3,3,1
3,86,6,207769,left,left,1,2411,2411,0,11 + 9 + 17,5 / 5 + 32,37,33,0.1081,"+,/",3,3,1
3,87,7,210337,right,left,-1,2828,2828,0,38 - 42 + 33,33 + 34 - 41,29,26,0.1034,"+,-",3,3,0
3,88,8,213319,left,left,1,3462,3462,0,96 / 2 - 26,30 - 88 / 8,22,19,0.1364,"-,/",3,3,1
3,89,9,216937,timeout,left,0,4000,4000,0,33 + 49 / 7,90 / 6 + 19,40,34,0.15,"+,/",3,3,1
